Age,Education,Skills,Interests,Recommended_Career
26,Master's,social media copywriting content writing,writing media creativity,Content Strategist
33,Bachelor's,transformers python nltk,linguistics artificial intelligence research,NLP Engineer
40,Master's,feature engineering machine learning tensorflow deep learning,artificial intelligence software engineering automation,Machine Learning Engineer
18,Bachelor's,python pandas tableau business intelligence,data science analytics finance,Data Analyst
36,Bachelor's,deep learning sql numpy python pandas,analytics data science technology artificial intelligence,Data Scientist
26,Master's,project planning jira leadership,management team collaboration business leadership,Project Manager
37,Bachelor's,rest api docker scikit-learn react sql,web development technology,Full Stack Developer
39,Master's,python cloud platforms data warehousing airflow spark,data engineering big data infrastructure technology,Data Engineer
37,Bachelor's,ansible kubernetes ci/cd,infrastructure automation technology,DevOps Engineer
29,Master's,bert spacy transformers natural language processing pytorch,language artificial intelligence technology research,NLP Engineer
33,Bachelor's,process modeling power bi excel documentation,business strategy,Business Analyst
26,Master's,statistics data analysis machine learning python,analytics technology,Data Scientist
21,PhD,scikit-learn sql data visualization python data analysis machine learning,technology analytics artificial intelligence research,Data Scientist
27,Bachelor's,nltk spacy deep learning bert,artificial intelligence language technology,NLP Engineer
26,Master's,webpack javascript css vue ui development,design technology,Frontend Developer
33,PhD,python mathematics pytorch,research innovation,AI Researcher
18,Master's,incident response vulnerability assessment firewalls,technology privacy cybersecurity problem solving,Cybersecurity Analyst
25,Master's,branding content marketing social media marketing,creativity communications business marketing,Digital Marketer
35,Bachelor's,power bi business intelligence excel agile stakeholder management,management business analytics,Business Analyst
36,Bachelor's,data visualization sql reporting power bi,data science analytics business finance,Data Analyst
32,PhD,git monitoring shell scripting terraform,technology system reliability,DevOps Engineer
24,Master's,react native swift android rest api java,user experience design technology app development,Mobile Developer
35,Master's,ui design user research wireframing,user experience psychology creativity technology,UI/UX Designer
36,Bachelor's,html docker mongodb react git,technology entrepreneurship software engineering web development,Full Stack Developer
31,Bachelor's,docker model deployment python tensorflow mlops,automation research technology software engineering,Machine Learning Engineer
37,Bachelor's,webpack vue ui development responsive design,web development creative coding,Frontend Developer
27,Bachelor's,figma wireframing ui design,technology psychology creativity design,UI/UX Designer
23,Bachelor's,kubernetes azure terraform aws networking ci/cd,technology engineering,Cloud Engineer
30,Bachelor's,rest api sql javascript docker react nodejs,entrepreneurship web development problem solving software engineering,Full Stack Developer
38,Bachelor's,ci/cd networking docker,automation technology engineering cloud computing,Cloud Engineer
29,Bachelor's,kubernetes terraform shell scripting monitoring git,automation technology,DevOps Engineer
22,Bachelor's,deep learning pytorch nltk transformers,technology linguistics artificial intelligence,NLP Engineer
24,PhD,figma adobe xd usability testing wireframing,user experience technology,UI/UX Designer
37,Master's,email marketing marketing automation content marketing social media marketing seo,marketing business social media creativity,Digital Marketer
40,Bachelor's,ansible shell scripting linux kubernetes,engineering system reliability automation technology,DevOps Engineer
31,Bachelor's,terraform google cloud azure docker networking,technology infrastructure engineering cloud computing,Cloud Engineer
39,PhD,excel power bi data visualization,analytics business decision making,Data Analyst
29,Master's,model deployment scikit-learn machine learning,software engineering technology automation research,Machine Learning Engineer
29,PhD,react mongodb html,software engineering web development technology,Full Stack Developer
19,Bachelor's,android swift mobile ui java,user experience app development mobile technology,Mobile Developer
24,Bachelor's,pcb design c++ assembly c microcontrollers,iot engineering electronics automation,Embedded Systems Engineer
25,PhD,scikit-learn model deployment tensorflow deep learning,automation software engineering research,Machine Learning Engineer
31,Bachelor's,leadership communication documentation,management leadership team collaboration business,Project Manager
31,Bachelor's,react rest api mongodb,problem solving software engineering technology entrepreneurship,Full Stack Developer
27,Bachelor's,convolutional neural networks tensorflow data augmentation,research photography computer vision technology,Computer Vision Engineer
40,Bachelor's,react css mongodb sql docker,web development problem solving technology,Full Stack Developer
22,Master's,html nodejs css,problem solving web development,Full Stack Developer
37,Bachelor's,machine learning data visualization numpy sql deep learning,research technology data science,Data Scientist
20,PhD,numpy data visualization data analysis,technology artificial intelligence research analytics,Data Scientist
36,Bachelor's,react webpack typescript,design creative coding web development,Frontend Developer
22,Master's,data analysis copywriting email marketing marketing automation social media marketing,communications creativity business,Digital Marketer
30,Master's,project planning budgeting stakeholder management,business strategy team collaboration management,Project Manager
22,Bachelor's,ci/cd terraform ansible,technology infrastructure system reliability,DevOps Engineer
28,PhD,statistics deep learning research,research technology,AI Researcher
39,Bachelor's,scrum budgeting risk management project planning,leadership business management team collaboration,Project Manager
23,Master's,html sql docker react rest api css,web development technology software engineering entrepreneurship,Full Stack Developer
21,Master's,python cloud platforms sql spark data warehousing etl,analytics technology data engineering big data,Data Engineer
26,Master's,content planning analytics copywriting marketing,writing communications marketing,Content Strategist
29,Bachelor's,sql etl airflow python cloud platforms kafka,analytics data engineering big data infrastructure,Data Engineer
32,Bachelor's,aws ci/cd linux shell scripting,automation system reliability technology,DevOps Engineer
35,PhD,nodejs react rest api css,problem solving software engineering,Full Stack Developer
27,Bachelor's,research deep learning paper writing computer vision tensorflow,research technology artificial intelligence academia,AI Researcher
19,Master's,docker nodejs spring boot java sql databases,problem solving engineering system architecture software development,Backend Developer
23,Master's,docker mlops tensorflow model deployment,automation research technology software engineering,Machine Learning Engineer
25,Bachelor's,pytorch paper writing python,academia artificial intelligence,AI Researcher
23,Bachelor's,cloud platforms sql data pipelines etl,analytics technology infrastructure big data,Data Engineer
38,Master's,scikit-learn data analysis deep learning numpy sql machine learning,technology analytics artificial intelligence data science,Data Scientist
40,Bachelor's,pandas tableau excel,finance analytics decision making,Data Analyst
24,PhD,linux terraform aws,automation infrastructure cloud computing,Cloud Engineer
32,Bachelor's,firewalls incident response siem,digital forensics problem solving privacy,Cybersecurity Analyst
25,Bachelor's,excel pandas sql statistics reporting python,finance business data science,Data Analyst
25,Bachelor's,pytorch paper writing natural language processing statistics,technology innovation research,AI Researcher
32,Master's,content writing editing social media analytics,media marketing communications creativity,Content Strategist
20,Bachelor's,machine learning scikit-learn pandas numpy data visualization,artificial intelligence analytics technology,Data Scientist
21,Bachelor's,docker feature engineering model deployment tensorflow python,artificial intelligence automation,Machine Learning Engineer
29,Master's,reporting tableau data visualization statistics business intelligence,analytics finance business decision making,Data Analyst
25,Bachelor's,docker java rest api databases python spring boot,software development technology problem solving,Backend Developer
25,Master's,data visualization data analysis scikit-learn numpy,technology artificial intelligence,Data Scientist
25,Master's,data augmentation deep learning pytorch opencv,research computer vision,Computer Vision Engineer
20,Master's,huggingface python text classification,technology research,NLP Engineer
25,Master's,content planning seo content writing analytics social media,marketing communications writing,Content Strategist
37,PhD,databases java python,technology problem solving software development engineering,Backend Developer
21,Master's,python huggingface spacy nltk pytorch,technology artificial intelligence,NLP Engineer
22,Master's,python machine learning scikit-learn tensorflow,technology software engineering,Machine Learning Engineer
19,Bachelor's,terraform aws azure kubernetes docker networking,technology engineering,Cloud Engineer
24,Bachelor's,python airflow hadoop data warehousing,big data data engineering,Data Engineer
23,Bachelor's,c c++ data visualization,automation engineering,Embedded Systems Engineer
18,Bachelor's,paper writing pytorch mathematics research statistics deep learning,technology research academia,AI Researcher
28,PhD,hardware programming pcb design embedded linux c microcontrollers,iot hardware,Embedded Systems Engineer
21,PhD,android rest api mobile ui react native swift flutter,mobile technology design,Mobile Developer
